CITY/COMMUNITY (if in Los Angeles City),new_cases,total_cases,lat,long,date
Exposition Park,,2,34.0147,-118.2872,3/26/20
Florence,,7,33.9745,-118.2481,3/26/20
Gardena,,4,33.8938,-118.3080,3/26/20
Glassell Park,,2,34.1161,-118.2290,3/26/20
Glendale,,23,34.1425,-118.2551,3/26/20
Glendora,,2,34.1361,-117.8653,3/26/20
Granada Hills,,8,34.2794,-118.5022,3/26/20
Hacienda Heights,,2,33.9931,-117.9687,3/26/20
Hancock Park,,10,34.0745,-118.3304,3/26/20
Harbor City,,1,33.7900,-118.2978,3/26/20
Harbor Gateway,,3,33.8501,-118.2991,3/26/20
Harvard Heights,,2,34.0440,-118.3042,3/26/20
Hawthorne,,9,33.9194,-118.3540,3/26/20
Highland Park,,3,34.1145,-118.1842,3/26/20
Hollywood,,27,34.1016,-118.3337,3/26/20
Hollywood Hills,,17,34.1341,-118.3215,3/26/20
Hyde Park,,1,33.9819,-118.3309,3/26/20
Inglewood,,12,33.9610,-118.3554,3/26/20
Koreatown,,7,34.0578,-118.3009,3/26/20
La Canada Flintridge,,6,34.2091,-118.2001,3/26/20
La Mirada,,5,33.9190,-118.0105,3/26/20
La Puente,,1,34.0200,-117.9495,3/26/20
La Verne,,2,34.1202,-117.7704,3/26/20
Lake Balboa,,3,34.1839,-118.4954,3/26/20
Lakewood,,7,33.8536,-118.1340,3/26/20
Lancaster,,16,34.6868,-118.1542,3/26/20
Lawndale,,2,33.8881,-118.3535,3/26/20
Leimert Park,,2,34.0118,-118.3234,3/26/20
Lincoln Heights,,1,34.0706,-118.2051,3/26/20
Little Bangladesh,,1,34.0691,-118.2956,3/26/20
Lomita,,12,33.7922,-118.3151,3/26/20
Los Feliz,,5,34.1124,-118.2851,3/26/20
Lynwood,,6,33.9293,-118.2139,3/26/20
Manhattan Beach,,21,33.8812,-118.4072,3/26/20
Mar Vista,,8,34.0037,-118.4690,3/26/20
Maywood,,1,33.9885,-118.1874,3/26/20
Melrose,,47,34.0837,-118.3366,3/26/20
Miracle Mile,,13,34.0597,-118.3500,3/26/20
Monrovia,,2,34.1481,-117.9990,3/26/20
Montebello,,1,34.0095,-118.1054,3/26/20
Monterey Park,,4,34.0625,-118.1228,3/26/20
Mt. Washington,,3,34.1003,-118.2097,3/26/20
North Hills,,1,34.2362,-118.4851,3/26/20
North Hollywood,,15,34.1870,-118.3813,3/26/20
Northridge,,4,34.2379,-118.5302,3/26/20
Norwalk,,9,33.9022,-118.0817,3/26/20
Pacific Palisades,,12,34.0481,-118.5265,3/26/20
Pacoima,,1,34.2625,-118.4270,3/26/20
Palmdale,,2,34.5794,-118.1093,3/26/20
Palms,,10,34.0237,-118.4151,3/26/20
Panorama City,,4,34.2247,-118.4498,3/26/20
Paramount,,4,33.8895,-118.1598,3/26/20
Park La Brea,,8,34.0702,-118.3497,3/26/20
Pico,,5,34.0544,-118.3858,3/26/20
Pico Rivera,,2,33.9831,-118.0967,3/26/20
Playa Vista,,8,33.9728,-118.4276,3/26/20
Pomona,,3,34.0551,-117.7500,3/26/20
Porter Ranch,,2,39.4346,-121.0205,3/26/20
Rancho Palos Verdes,,6,33.7445,-118.3870,3/26/20
Redondo Beach,,20,33.8492,-118.3884,3/26/20
Reseda,,8,34.2011,-118.5360,3/26/20
San Dimas,,1,34.1067,-117.8067,3/26/20
San Fernando,,3,34.2819,-118.4390,3/26/20
San Gabriel,,3,34.0968,-118.1057,3/26/20
San Pedro,,5,33.7361,-118.2922,3/26/20
Santa Clarita,,16,34.3917,-118.5426,3/26/20
Santa Monica,,21,34.0242,-118.4965,3/26/20
Santa Monica Mountains,,4,34.1203,-118.9318,3/26/20
Sherman Oaks,,17,34.1500,-118.4489,3/26/20
Silverlake,,11,34.0869,-118.2702,3/26/20
South El Monte,,4,34.0493,-118.0469,3/26/20
South Gate,,4,33.9560,-118.2113,3/26/20
South Park,,2,34.0418,-118.2639,3/26/20
South Pasadena,,4,34.1165,-118.1468,3/26/20
South Whittier,,4,33.9608,-118.0417,3/26/20
Stevenson Ranch,,3,34.3873,-118.5802,3/26/20
Studio City,,11,34.1413,-118.3878,3/26/20
Sun Valley,,2,34.2274,-118.3811,3/26/20
Sunland,,1,34.2660,-118.3114,3/26/20
Sylmar,,2,34.3058,-118.4572,3/26/20
Tarzana,,14,34.1509,-118.5517,3/26/20
Temple,,6,34.1023,-118.0603,3/26/20
Torrance,,14,33.8408,-118.3454,3/26/20
Tujunga,,2,34.2633,-118.3027,3/26/20
University Park,,6,34.0315,-118.2797,3/26/20
Valinda,,1,34.0433,-117.9331,3/26/20
Valley Glen,,12,34.1838,-118.4172,3/26/20
Van Nuys,,4,34.1899,-118.4514,3/26/20
Venice,,11,33.9764,-118.4667,3/26/20
Vermont Knolls,,3,33.9293,-118.2893,3/26/20
Vermont Vista,,5,33.9465,-118.2826,3/26/20
Vernon Central,,1,34.0043,-118.2570,3/26/20
Walnut,,1,34.0203,-117.8653,3/26/20
Watts,,1,33.9386,-118.2380,3/26/20
West Adams,,6,34.0342,-118.3623,3/26/20
West Covina,,4,34.0686,-117.9390,3/26/20
West Hills,,4,34.1973,-118.6440,3/26/20
West Hollywood,,35,34.0907,-118.3860,3/26/20
West Los Angeles,,5,34.0399,-118.4422,3/26/20
West Vernon,,6,34.0039,-118.2301,3/26/20
West Whittier/Los Nietos,,1,33.9760,-118.0691,3/26/20
Westchester,,7,33.9597,-118.4006,3/26/20
Westlake,,1,34.1458,-118.8056,3/26/20
Westwood,,11,34.0561,-118.4297,3/26/20
Whittier,,3,33.9679,-118.0189,3/26/20
Wholesale District,,6,34.0300,-118.2452,3/26/20
Willowbrook,,1,33.9170,-118.2551,3/26/20
Wilmington,,5,33.7800,-118.2617,3/26/20
Wilshire Center,,2,34.0642,-118.2984,3/26/20
Winnetka,,5,34.2059,-118.5754,3/26/20
Woodland Hills,,13,34.1659,-118.6104,3/26/20
Long Beach,,41,33.7701,-118.1937,3/26/20
Pasadena,,9,34.1561,-118.1319,3/26/20
Long Beach,,21,33.7701,-118.1937,3/24/20
Agoura Hills,,6,34.1364,-118.7745,3/27/20
Alhambra,,8,34.0953,-118.1270,3/27/20
Arcadia,,6,34.1397,-118.0353,3/27/20
Azusa,,1,34.1336,-117.9076,3/27/20
Bell,,4,33.9761,-118.1851,3/27/20
Bell Gardens,,1,33.9653,-118.1515,3/27/20
Bellflower,,10,33.8822,-118.1180,3/27/20
Beverly Hills,,21,34.0736,-118.4004,3/27/20
Burbank,,7,34.1808,-118.3090,3/27/20
Calabasas,,7,34.1383,-118.6608,3/27/20
Carson,,21,33.8374,-118.2559,3/27/20
Cerritos,,1,33.8584,-118.0648,3/27/20
Claremont,,1,34.1261,-117.7158,3/27/20
Compton,,7,33.8958,-118.2201,3/27/20
Covina,,3,34.0900,-117.8903,3/27/20
Culver City,,6,34.0211,-118.3965,3/27/20
Diamond Bar,,2,34.0286,-117.8103,3/27/20
Downey,,12,33.9451,-118.1281,3/27/20
Gardena,,5,33.8938,-118.3080,3/27/20
Glendale,,29,34.1425,-118.2551,3/27/20
Glendora,,4,34.1361,-117.8653,3/27/20
Hawthorne,,7,33.9194,-118.3540,3/27/20
Inglewood,,12,33.9610,-118.3554,3/27/20
La Canada Flintridge,,5,34.2091,-118.2001,3/27/20
La Mirada,,5,33.9190,-118.0105,3/27/20
La Puente,,1,34.0200,-117.9495,3/27/20
La Verne,,1,34.1202,-117.7704,3/27/20
Lakewood,,8,33.8536,-118.1340,3/27/20
Lancaster,,18,34.6868,-118.1542,3/27/20
Lawndale,,2,33.8881,-118.3535,3/27/20
Lynwood,,8,33.9293,-118.2139,3/27/20
Manhattan Beach,,22,33.8812,-118.4072,3/27/20
Maywood,,1,33.9885,-118.1874,3/27/20
Monrovia,,4,34.1481,-117.9990,3/27/20
Montebello,,2,34.0095,-118.1054,3/27/20
Monterey Park,,4,34.0625,-118.1228,3/27/20
Norwalk,,9,33.9022,-118.0817,3/27/20
Palmdale,,4,34.5794,-118.1093,3/27/20
Palos Verdes Estates,,12,33.7871,-118.3976,3/27/20
Paramount,,5,33.8895,-118.1598,3/27/20
Pico Rivera,,2,33.9831,-118.0967,3/27/20
Pomona,,4,34.0551,-117.7500,3/27/20
Rancho Palos Verdes,,7,33.7445,-118.3870,3/27/20
Redondo Beach,,23,33.8492,-118.3884,3/27/20
San Dimas,,1,34.1067,-117.8067,3/27/20
San Gabriel,,5,34.0968,-118.1057,3/27/20
Santa Clarita,,24,34.3917,-118.5426,3/27/20
Santa Monica,,28,34.0242,-118.4965,3/27/20
South Gate,,4,33.9560,-118.2113,3/27/20
South Pasadena,,3,34.1165,-118.1468,3/27/20
Torrance,,21,33.8408,-118.3454,3/27/20
Walnut,,1,34.0203,-117.8653,3/27/20
West Covina,,5,34.0686,-117.9390,3/27/20
West Hollywood,,42,34.0907,-118.3860,3/27/20
Whittier,,4,33.9679,-118.0189,3/27/20
Arleta,,2,34.2419,-118.4256,3/27/20
Baldwin Hills,,5,34.0047,-118.3415,3/27/20
Bel Air,,6,34.0833,-118.4487,3/27/20
Beverly Crest,,14,34.1024,-118.4163,3/27/20
Beverlywood,,8,34.0409,-118.3919,3/27/20
Boyle Heights,,8,34.0339,-118.2054,3/27/20
Brentwood,,30,34.0519,-118.4731,3/27/20
Canoga Park,,2,34.2011,-118.5981,3/27/20
Carthay,,7,34.0573,-118.3679,3/27/20
Central,,2,34.0833,-118.4487,3/27/20
Century City,,6,34.0556,-118.4179,3/27/20
Century Palms/Cove,,3,33.9461,-118.2732,3/27/20
Chatsworth,,3,34.2506,-118.6148,3/27/20
Crestview,,7,34.0458,-118.3816,3/27/20
Del Rey,,9,33.9878,-118.4229,3/27/20
Downtown,,8,34.0422,-118.2488,3/27/20
Eagle Rock,,4,34.1322,-118.2117,3/27/20
East Hollywood,,3,34.0948,-118.2910,3/27/20
Encino,,23,34.1517,-118.5214,3/27/20
Exposition Park,,2,34.0147,-118.2872,3/27/20
Florence-Firestone,,3,33.9632,-118.2426,3/27/20
Glassell Park,,4,34.1161,-118.2290,3/27/20
Granada Hills,,8,34.2794,-118.5022,3/27/20
Hancock Park,,14,34.0745,-118.3304,3/27/20
Harbor City,,1,33.7900,-118.2978,3/27/20
Harbor Gateway,,4,33.8501,-118.2991,3/27/20
Harvard Park,,1,33.9841,-118.3042,3/27/20
Highland Park,,5,34.1145,-118.1842,3/27/20
Hollywood,,30,34.1016,-118.3337,3/27/20
Hollywood Hills,,19,34.1341,-118.3215,3/27/20
Hyde Park,,2,33.9819,-118.3309,3/27/20
Koreatown,,7,34.0578,-118.3009,3/27/20
Lake Balboa,,3,34.1839,-118.4954,3/27/20
Lincoln Heights,,1,34.0706,-118.2051,3/27/20
Little Bangladesh,,2,34.0691,-118.2956,3/27/20
Los Feliz,,6,34.1124,-118.2851,3/27/20
Mar Vista,,8,34.0037,-118.4690,3/27/20
Melrose,,49,34.0837,-118.3366,3/27/20
Mid-city,,8,34.0429,-118.3344,3/27/20
Miracle Mile,,7,34.0597,-118.3500,3/27/20
North Hills,,1,34.2362,-118.4851,3/27/20
North Hollywood,,18,34.1870,-118.3813,3/27/20
Northridge,,7,34.2379,-118.5302,3/27/20
Pacific Palisades,,10,34.0481,-118.5265,3/27/20
Pacoima,,2,34.2625,-118.4270,3/27/20
Palms,,12,34.0237,-118.4151,3/27/20
Panorama City,,4,34.2247,-118.4498,3/27/20
Pico-Union,,5,34.0446,-118.2770,3/27/20
Playa Vista,,5,33.9728,-118.4276,3/27/20
Porter Ranch,,2,39.4346,-121.0205,3/27/20
Reseda,,8,34.2011,-118.5360,3/27/20
San Pedro,,8,33.7361,-118.2922,3/27/20
Sherman Oaks,,21,34.1500,-118.4489,3/27/20
Silverlake,,12,34.0869,-118.2702,3/27/20
South Carthay,,5,34.0561,-118.3734,3/27/20
South Park,,3,34.0418,-118.2639,3/27/20
Studio City,,10,34.1413,-118.3878,3/27/20
Sun Valley,,3,34.2274,-118.3811,3/27/20
Sylmar,,4,34.3058,-118.4572,3/27/20
Tarzana,,17,34.1509,-118.5517,3/27/20
Temple-Beaudry,,5,34.0629,-118.2513,3/27/20
Tujunga,,2,34.2633,-118.3027,3/27/20
University Park,,4,34.0315,-118.2797,3/27/20
Valley Glen,,2,34.1838,-118.4172,3/27/20
Valley Village,,13,34.1633,-118.3842,3/27/20
Van Nuys,,4,34.1899,-118.4514,3/27/20
Venice,,11,33.9764,-118.4667,3/27/20
Vermont Vista,,2,33.9465,-118.2826,3/27/20
Vernon Central,,3,34.0043,-118.2570,3/27/20
Watts,,1,33.9386,-118.2380,3/27/20
West Adams,,6,34.0342,-118.3623,3/27/20
West Hills,,5,34.1973,-118.6440,3/27/20
West Los Angeles,,9,34.0399,-118.4422,3/27/20
West Vernon,,6,34.0039,-118.2301,3/27/20
Westchester,,8,33.9597,-118.4006,3/27/20
Westlake,,1,34.1458,-118.8056,3/27/20
Westwood,,16,34.0561,-118.4297,3/27/20
Wholesale District,,8,34.0300,-118.2452,3/27/20
Wilmington,,5,33.7800,-118.2617,3/27/20
Wilshire Center,,4,34.0642,-118.2984,3/27/20
Winnetka,,3,34.2059,-118.5754,3/27/20
Woodland Hills,,14,34.1659,-118.6104,3/27/20
Altadena,,9,34.1902,-118.1313,3/27/20
Athens-Westmont,,5,33.9238,-118.3019,3/27/20
Castaic,,3,34.4889,-118.6229,3/27/20
East Los Angeles,,6,34.0316,-118.1724,3/27/20
Hacienda Heights,,2,33.9931,-117.9687,3/27/20
Rowland Heights,,1,33.9761,-117.9053,3/27/20
South Whittier,,3,33.9608,-118.0417,3/27/20
Long Beach,,54,33.7701,-118.1937,3/27/20
Pasadena,,9,34.1561,-118.1319,3/27/20
- Under Investigation,,154,#N/A,#N/A,3/28/20
Long Beach,,75,33.7701,-118.1937,3/28/20
Melrose,,56,34.0837,-118.3366,3/28/20
West Hollywood,,50,34.0907,-118.3860,3/28/20
Santa Monica,,38,34.0242,-118.4965,3/28/20
Hollywood,,38,34.1016,-118.3337,3/28/20
Glendale,,36,34.1425,-118.2551,3/28/20
Santa Clarita,,32,34.3917,-118.5426,3/28/20
Torrance,,32,33.8408,-118.3454,3/28/20
Brentwood,,31,34.0519,-118.4731,3/28/20
Carson,,26,33.8374,-118.2559,3/28/20
Encino,,26,34.1517,-118.5214,3/28/20
North Hollywood,,26,34.1870,-118.3813,3/28/20
Sherman Oaks,,25,34.1500,-118.4489,3/28/20
Redondo Beach,,24,33.8492,-118.3884,3/28/20
Manhattan Beach,,23,33.8812,-118.4072,3/28/20
Hollywood Hills,,23,34.1341,-118.3215,3/28/20
Beverly Hills,,21,34.0736,-118.4004,3/28/20
Lancaster,,19,34.6868,-118.1542,3/28/20
Tarzana,,19,34.1509,-118.5517,3/28/20
Downey,,18,33.9451,-118.1281,3/28/20
Woodland Hills,,18,34.1659,-118.6104,3/28/20
Burbank,,17,34.1808,-118.3090,3/28/20
Beverly Crest,,17,34.1024,-118.4163,3/28/20
Hancock Park,,17,34.0745,-118.3304,3/28/20
Westwood,,17,34.0561,-118.4297,3/28/20
Palms,,15,34.0237,-118.4151,3/28/20
Inglewood,,14,33.9610,-118.3554,3/28/20
Palos Verdes Estates,,14,33.7871,-118.3976,3/28/20
Silverlake,,14,34.0869,-118.2702,3/28/20
Valley Village,,14,34.1633,-118.3842,3/28/20
Lynwood,,13,33.9293,-118.2139,3/28/20
Venice,,13,33.9764,-118.4667,3/28/20
West Los Angeles,,13,34.0399,-118.4422,3/28/20
Bellflower,,12,33.8822,-118.1180,3/28/20
Norwalk,,12,33.9022,-118.0817,3/28/20
Westchester,,12,33.9597,-118.4006,3/28/20
Hawthorne,,11,33.9194,-118.3540,3/28/20
Lakewood,,11,33.8536,-118.1340,3/28/20
South Gate,,11,33.9560,-118.2113,3/28/20
Pacific Palisades,,11,34.0481,-118.5265,3/28/20
Reseda,,11,34.2011,-118.5360,3/28/20
Wholesale District,,11,34.0300,-118.2452,3/28/20
Alhambra,,10,34.0953,-118.1270,3/28/20
Calabasas,,10,34.1383,-118.6608,3/28/20
Beverlywood,,10,34.0409,-118.3919,3/28/20
Del Rey,,10,33.9878,-118.4229,3/28/20
Koreatown,,10,34.0578,-118.3009,3/28/20
Studio City,,10,34.1413,-118.3878,3/28/20
Altadena,,10,34.1902,-118.1313,3/28/20
Agoura Hills,,9,34.1364,-118.7745,3/28/20
Compton,,9,33.8958,-118.2201,3/28/20
Carthay,,9,34.0573,-118.3679,3/28/20
Crestview,,9,34.0458,-118.3816,3/28/20
Downtown,,9,34.0422,-118.2488,3/28/20
San Pedro,,9,33.7361,-118.2922,3/28/20
Pasadena,,9,34.1561,-118.1319,3/28/20
Arcadia,,8,34.1397,-118.0353,3/28/20
Rancho Palos Verdes,,8,33.7445,-118.3870,3/28/20
Bel Air,,8,34.0833,-118.4487,3/28/20
Boyle Heights,,8,34.0339,-118.2054,3/28/20
Century City,,8,34.0556,-118.4179,3/28/20
Eagle Rock,,8,34.1322,-118.2117,3/28/20
Granada Hills,,8,34.2794,-118.5022,3/28/20
Mar Vista,,8,34.0037,-118.4690,3/28/20
Mid-city,,8,34.0429,-118.3344,3/28/20
Miracle Mile,,8,34.0597,-118.3500,3/28/20
Northridge,,8,34.2379,-118.5302,3/28/20
Sylmar,,8,34.3058,-118.4572,3/28/20
West Vernon,,8,34.0039,-118.2301,3/28/20
Winnetka,,8,34.2059,-118.5754,3/28/20
East Los Angeles,,8,34.0316,-118.1724,3/28/20
Culver City,,7,34.0211,-118.3965,3/28/20
La Canada Flintridge,,7,34.2091,-118.2001,3/28/20
Baldwin Hills,,7,34.0047,-118.3415,3/28/20
Glassell Park,,7,34.1161,-118.2290,3/28/20
West Adams,,7,34.0342,-118.3623,3/28/20
Wilmington,,7,33.7800,-118.2617,3/28/20
Athens-Westmont,,7,33.9238,-118.3019,3/28/20
Gardena,,6,33.8938,-118.3080,3/28/20
La Mirada,,6,33.9190,-118.0105,3/28/20
Palmdale,,6,34.5794,-118.1093,3/28/20
San Gabriel,,6,34.0968,-118.1057,3/28/20
Whittier,,6,33.9679,-118.0189,3/28/20
Florence-Firestone,,6,33.9632,-118.2426,3/28/20
Highland Park,,6,34.1145,-118.1842,3/28/20
Lake Balboa,,6,34.1839,-118.4954,3/28/20
Van Nuys,,6,34.1899,-118.4514,3/28/20
West Carson,,6,33.8206,-118.2934,3/28/20
Bell,,5,33.9761,-118.1851,3/28/20
Monterey Park,,5,34.0625,-118.1228,3/28/20
Paramount,,5,33.8895,-118.1598,3/28/20
Pico Rivera,,5,33.9831,-118.0967,3/28/20
West Covina,,5,34.0686,-117.9390,3/28/20
Century Palms/Cove,,5,33.9461,-118.2732,3/28/20
East Hollywood,,5,34.0948,-118.2910,3/28/20
Los Feliz,,5,34.1124,-118.2851,3/28/20
Mission Hills,,5,34.2723,-118.4689,3/28/20
Playa Vista,,5,33.9728,-118.4276,3/28/20
South Carthay,,5,34.0561,-118.3734,3/28/20
Sun Valley,,5,34.2274,-118.3811,3/28/20
Temple-Beaudry,,5,34.0629,-118.2513,3/28/20
University Park,,5,34.0315,-118.2797,3/28/20
West Hills,,5,34.1973,-118.6440,3/28/20
South Whittier,,5,33.9608,-118.0417,3/28/20
Glendora,,4,34.1361,-117.8653,3/28/20
Monrovia,,4,34.1481,-117.9990,3/28/20
Pomona,,4,34.0551,-117.7500,3/28/20
Arleta,,4,34.2419,-118.4256,3/28/20
Chatsworth,,4,34.2506,-118.6148,3/28/20
Exposition Park,,4,34.0147,-118.2872,3/28/20
Harbor Gateway,,4,33.8501,-118.2991,3/28/20
Panorama City,,4,34.2247,-118.4498,3/28/20
Pico-Union,,4,34.0446,-118.2770,3/28/20
South Park,,4,34.0418,-118.2639,3/28/20
Wilshire Center,,4,34.0642,-118.2984,3/28/20
Castaic,,4,34.4889,-118.6229,3/28/20
Covina,,3,34.0900,-117.8903,3/28/20
Lawndale,,3,33.8881,-118.3535,3/28/20
Montebello,,3,34.0095,-118.1054,3/28/20
South Pasadena,,3,34.1165,-118.1468,3/28/20
Canoga Park,,3,34.2011,-118.5981,3/28/20
Central,,3,34.0833,-118.4487,3/28/20
Pacoima,,3,34.2625,-118.4270,3/28/20
Porter Ranch,,3,39.4346,-121.0205,3/28/20
Valley Glen,,3,34.1838,-118.4172,3/28/20
Vermont Vista,,3,33.9465,-118.2826,3/28/20
Vernon Central,,3,34.0043,-118.2570,3/28/20
Diamond Bar,,2,34.0286,-117.8103,3/28/20
Huntington Park,,2,33.9849,-118.2278,3/28/20
La Puente,,2,34.0200,-117.9495,3/28/20
Maywood,,2,33.9885,-118.1874,3/28/20
San Dimas,,2,34.1067,-117.8067,3/28/20
Walnut,,2,34.0203,-117.8653,3/28/20
Harvard Park,,2,33.9841,-118.3042,3/28/20
Hyde Park,,2,33.9819,-118.3309,3/28/20
Little Bangladesh,,2,34.0691,-118.2956,3/28/20
North Hills,,2,34.2362,-118.4851,3/28/20
Tujunga,,2,34.2633,-118.3027,3/28/20
Westlake,,2,34.1458,-118.8056,3/28/20
Hacienda Heights,,2,33.9931,-117.9687,3/28/20
Azusa,,1,34.1336,-117.9076,3/28/20
Bell Gardens,,1,33.9653,-118.1515,3/28/20
Cerritos,,1,33.8584,-118.0648,3/28/20
Claremont,,1,34.1261,-117.7158,3/28/20
La Verne,,1,34.1202,-117.7704,3/28/20
Rosemead,,1,34.0806,-118.0728,3/28/20
Temple City,,1,34.1072,-118.0579,3/28/20
El Sereno,,1,34.0875,-118.1715,3/28/20
Harbor City,,1,33.7900,-118.2978,3/28/20
Lincoln Heights,,1,34.0706,-118.2051,3/28/20
Watts,,1,33.9386,-118.2380,3/28/20
Rowland Heights,,1,33.9761,-117.9053,3/28/20
Willowbrook,,1,33.9170,-118.2551,3/28/20
Agoura Hills,,9,34.1364,-118.7745,3/29/20
Alhambra,,10,34.0953,-118.1270,3/29/20
Arcadia,,9,34.1397,-118.0353,3/29/20
Azuza,,2,34.1336,-117.9076,3/29/20
Bell,,6,33.9761,-118.1851,3/29/20
Bell Gardens,,1,33.9653,-118.1515,3/29/20
Bellflower,,14,33.8822,-118.1180,3/29/20
Beverly Hills,,24,34.0736,-118.4004,3/29/20
Burbank,,19,34.1808,-118.3090,3/29/20
Calabasas,,10,34.1383,-118.6608,3/29/20
Carson,,28,33.8374,-118.2559,3/29/20
Cerritos,,4,33.8584,-118.0648,3/29/20
Claremont,,1,34.1261,-117.7158,3/29/20
Compton,,11,33.8958,-118.2201,3/29/20
Covina,,6,34.0900,-117.8903,3/29/20
Culver City,,9,34.0211,-118.3965,3/29/20
Diamond Bar,,3,34.0286,-117.8103,3/29/20
Downey,,19,33.9451,-118.1281,3/29/20
Gardena,,6,33.8938,-118.3080,3/29/20
