CITY/COMMUNITY (if in Los Angeles City),new_cases,total_cases,lat,long,date
Glendale,,46,34.1425,-118.2551,3/29/20
Glendora,,6,34.1361,-117.8653,3/29/20
Hawthorne,,11,33.9194,-118.3540,3/29/20
Hermosa Beach,,6,33.8621,-118.4000,3/29/20
Huntington Park,,2,33.9849,-118.2278,3/29/20
Inglewood,,20,33.9610,-118.3554,3/29/20
La Canada Flintridge,,7,34.2091,-118.2001,3/29/20
La Mirada,,7,33.9190,-118.0105,3/29/20
La Puente,,3,34.0200,-117.9495,3/29/20
La Verne,,1,34.1202,-117.7704,3/29/20
Lakewood,,12,33.8536,-118.1340,3/29/20
Lancaster,,23,34.6868,-118.1542,3/29/20
Lawndale,,4,33.8881,-118.3535,3/29/20
Lynwood,,14,33.9293,-118.2139,3/29/20
Manhattan Beach,,27,33.8812,-118.4072,3/29/20
Maywood,,4,33.9885,-118.1874,3/29/20
Monrovia,,4,34.1481,-117.9990,3/29/20
Montebello,,4,34.0095,-118.1054,3/29/20
Monterey Park,,5,34.0625,-118.1228,3/29/20
Norwalk,,12,33.9022,-118.0817,3/29/20
Palmdale,,7,34.5794,-118.1093,3/29/20
Palos Verdes Estates,,14,33.7871,-118.3976,3/29/20
Paramount,,6,33.8895,-118.1598,3/29/20
Pico Rivera,,5,33.9831,-118.0967,3/29/20
Pomona,,4,34.0551,-117.7500,3/29/20
Rancho Palos Verdes,,8,33.7445,-118.3870,3/29/20
Redondo Beach,,29,33.8492,-118.3884,3/29/20
Rosemead,,2,34.0806,-118.0728,3/29/20
San Dimas,,3,34.1067,-117.8067,3/29/20
San Gabriel,,6,34.0968,-118.1057,3/29/20
Santa Clarita,,38,34.3917,-118.5426,3/29/20
Santa Monica,,41,34.0242,-118.4965,3/29/20
South Gate,,12,33.9560,-118.2113,3/29/20
South Pasadena,,5,34.1165,-118.1468,3/29/20
Temple City,,2,34.1072,-118.0579,3/29/20
Torrance,,34,33.8408,-118.3454,3/29/20
Walnut,,3,34.0203,-117.8653,3/29/20
West Covina,,6,34.0686,-117.9390,3/29/20
West Hollywood,,52,34.0907,-118.3860,3/29/20
Whittier,,8,33.9679,-118.0189,3/29/20
Arleta,,5,34.2419,-118.4256,3/29/20
Baldwin Hills,,9,34.0047,-118.3415,3/29/20
Bel Air,,9,34.0833,-118.4487,3/29/20
Beverly Crest,,18,34.1024,-118.4163,3/29/20
Beverlywood,,11,34.0409,-118.3919,3/29/20
Boyle Heights,,10,34.0339,-118.2054,3/29/20
Brentwood,,33,34.0519,-118.4731,3/29/20
Canoga Park,,3,34.2011,-118.5981,3/29/20
Carthay,,13,34.0573,-118.3679,3/29/20
Central,,4,34.0833,-118.4487,3/29/20
Century City,,8,34.0556,-118.4179,3/29/20
Century Palms/Cove,,8,33.9461,-118.2732,3/29/20
Chatsworth,,8,34.2506,-118.6148,3/29/20
Crestview,,11,34.0458,-118.3816,3/29/20
Del Rey,,12,33.9878,-118.4229,3/29/20
Downtown,,10,34.0422,-118.2488,3/29/20
Eagle Rock,,8,34.1322,-118.2117,3/29/20
East Hollywood,,6,34.0948,-118.2910,3/29/20
El Sereno,,3,34.0875,-118.1715,3/29/20
Encino,,27,34.1517,-118.5214,3/29/20
Exposition Park,,4,34.0147,-118.2872,3/29/20
Florence-Firestone,,6,33.9632,-118.2426,3/29/20
Glassell Park,,7,34.1161,-118.2290,3/29/20
Granada Hills,,8,34.2794,-118.5022,3/29/20
Hancock Park,,18,34.0745,-118.3304,3/29/20
Harbor City,,2,33.7900,-118.2978,3/29/20
Harbor Gateway,,4,33.8501,-118.2991,3/29/20
Harvard Park,,2,33.9841,-118.3042,3/29/20
Highland Park,,8,34.1145,-118.1842,3/29/20
Hollywood,,44,34.1016,-118.3337,3/29/20
Hollywood Hills,,24,34.1341,-118.3215,3/29/20
Hyde Park,,4,33.9819,-118.3309,3/29/20
Koreatown,,10,34.0578,-118.3009,3/29/20
Lake Balboa,,8,34.1839,-118.4954,3/29/20
Lincoln Heights,,2,34.0706,-118.2051,3/29/20
Little Bangladesh,,4,34.0691,-118.2956,3/29/20
Los Feliz,,8,34.1124,-118.2851,3/29/20
Mar Vista,,9,34.0037,-118.4690,3/29/20
Melrose,,71,34.0837,-118.3366,3/29/20
Mid-city,,9,34.0429,-118.3344,3/29/20
Miracle Mile,,9,34.0597,-118.3500,3/29/20
Mission Hills,,5,34.2723,-118.4689,3/29/20
North Hills,,6,34.2362,-118.4851,3/29/20
North Hollywood,,30,34.1870,-118.3813,3/29/20
Northridge,,8,34.2379,-118.5302,3/29/20
Pacific Palisades,,15,34.0481,-118.5265,3/29/20
Pacoima,,3,34.2625,-118.4270,3/29/20
Palms,,20,34.0237,-118.4151,3/29/20
Panorama City,,6,34.2247,-118.4498,3/29/20
Pico-Union,,4,34.0446,-118.2770,3/29/20
Playa Vista,,5,33.9728,-118.4276,3/29/20
Porter Ranch,,6,39.4346,-121.0205,3/29/20
Reseda,,13,34.2011,-118.5360,3/29/20
San Pedro,,10,33.7361,-118.2922,3/29/20
Sherman Oaks,,27,34.1500,-118.4489,3/29/20
Silverlake,,16,34.0869,-118.2702,3/29/20
South Carthay,,6,34.0561,-118.3734,3/29/20
South Park,,4,34.0418,-118.2639,3/29/20
Studio City,,14,34.1413,-118.3878,3/29/20
Sun Valley,,6,34.2274,-118.3811,3/29/20
Sylmar,,15,34.3058,-118.4572,3/29/20
Tarzana,,23,34.1509,-118.5517,3/29/20
Temple-Beaudry,,5,34.0629,-118.2513,3/29/20
Tujunga,,3,34.2633,-118.3027,3/29/20
University Park,,5,34.0315,-118.2797,3/29/20
Valley Glen,,4,34.1838,-118.4172,3/29/20
Valley Village,,18,34.1633,-118.3842,3/29/20
Van Nuys,,7,34.1899,-118.4514,3/29/20
Venice,,17,33.9764,-118.4667,3/29/20
Vermont Vista,,5,33.9465,-118.2826,3/29/20
Vernon Central,,3,34.0043,-118.2570,3/29/20
Watts,,2,33.9386,-118.2380,3/29/20
West Adams,,7,34.0342,-118.3623,3/29/20
West Hills,,6,34.1973,-118.6440,3/29/20
West Los Angeles,,18,34.0399,-118.4422,3/29/20
West Vernon,,8,34.0039,-118.2301,3/29/20
Westchester,,17,33.9597,-118.4006,3/29/20
Westlake,,5,34.1458,-118.8056,3/29/20
Westwood,,22,34.0561,-118.4297,3/29/20
Wholesale District,,12,34.0300,-118.2452,3/29/20
Wilmington,,10,33.7800,-118.2617,3/29/20
Wilshire Center,,5,34.0642,-118.2984,3/29/20
Winnetka,,9,34.2059,-118.5754,3/29/20
Woodland Hills,,19,34.1659,-118.6104,3/29/20
Altadena,,10,34.1902,-118.1313,3/29/20
Athens-Westmont,,7,33.9238,-118.3019,3/29/20
Castaic,,4,34.4889,-118.6229,3/29/20
East Los Angeles,,9,34.0316,-118.1724,3/29/20
Hacienda Heights,,2,33.9931,-117.9687,3/29/20
Lennox,,5,33.9397,-118.3529,3/29/20
Rowland Heights,,3,33.9761,-117.9053,3/29/20
South Whittier,,5,33.9608,-118.0417,3/29/20
West Carson,,7,33.8206,-118.2934,3/29/20
Willowbrook,,1,33.9170,-118.2551,3/29/20
Long Beach,,88,33.7701,-118.1937,3/29/20
Pasadena,,10,34.1561,-118.1319,3/29/20
Agoura Hills,,9,34.1364,-118.7745,3/30/2020
Alhambra,,11,34.0953,-118.1270,3/30/2020
Arcadia,,9,34.1397,-118.0353,3/30/2020
Azuza,,3,34.1336,-117.9076,3/30/2020
Bell,,11,33.9761,-118.1851,3/30/2020
Bell Gardens,,2,33.9653,-118.1515,3/30/2020
Bellflower,,17,33.8822,-118.1180,3/30/2020
Beverly Hills,,28,34.0736,-118.4004,3/30/2020
Burbank,,21,34.1808,-118.3090,3/30/2020
Calabasas,,11,34.1383,-118.6608,3/30/2020
Carson,,35,33.8374,-118.2559,3/30/2020
Cerritos,,5,33.8584,-118.0648,3/30/2020
Claremont,,1,34.1261,-117.7158,3/30/2020
Compton,,13,33.8958,-118.2201,3/30/2020
Covina,,8,34.0900,-117.8903,3/30/2020
Culver City,,14,34.0211,-118.3965,3/30/2020
Diamond Bar,,3,34.0286,-117.8103,3/30/2020
Downey,,25,33.9451,-118.1281,3/30/2020
El Monte,,1,34.0733,-118.0275,3/30/2020
Gardena,,7,33.8938,-118.3080,3/30/2020
Glendale,,62,34.1425,-118.2551,3/30/2020
Glendora,,6,34.1361,-117.8653,3/30/2020
Hawthorne,,13,33.9194,-118.3540,3/30/2020
Hermosa Beach,,7,33.8621,-118.4000,3/30/2020
Huntington Park,,4,33.9849,-118.2278,3/30/2020
Inglewood,,26,33.9610,-118.3554,3/30/2020
La Canada Flintridge,,8,34.2091,-118.2001,3/30/2020
La Mirada,,7,33.9190,-118.0105,3/30/2020
La Puente,,3,34.0200,-117.9495,3/30/2020
La Verne,,2,34.1202,-117.7704,3/30/2020
Lakewood,,13,33.8536,-118.1340,3/30/2020
Lancaster,,27,34.6868,-118.1542,3/30/2020
Lawndale,,4,33.8881,-118.3535,3/30/2020
Lynwood,,16,33.9293,-118.2139,3/30/2020
Manhattan Beach,,31,33.8812,-118.4072,3/30/2020
Maywood,,5,33.9885,-118.1874,3/30/2020
Monrovia,,4,34.1481,-117.9990,3/30/2020
Montebello,,4,34.0095,-118.1054,3/30/2020
Monterey Park,,5,34.0625,-118.1228,3/30/2020
Norwalk,,15,33.9022,-118.0817,3/30/2020
Palmdale,,9,34.5794,-118.1093,3/30/2020
Palos Verdes Estates,,14,33.7871,-118.3976,3/30/2020
Paramount,,7,33.8895,-118.1598,3/30/2020
Pico Rivera,,6,33.9831,-118.0967,3/30/2020
Pomona,,5,34.0551,-117.7500,3/30/2020
Rancho Palos Verdes,,10,33.7445,-118.3870,3/30/2020
Redondo Beach,,34,33.8492,-118.3884,3/30/2020
Rosemead,,2,34.0806,-118.0728,3/30/2020
San Dimas,,3,34.1067,-117.8067,3/30/2020
San Gabriel,,6,34.0968,-118.1057,3/30/2020
Santa Clarita,,41,34.3917,-118.5426,3/30/2020
Santa Monica,,47,34.0242,-118.4965,3/30/2020
South Gate,,14,33.9560,-118.2113,3/30/2020
South Pasadena,,5,34.1165,-118.1468,3/30/2020
Temple City,,1,34.1072,-118.0579,3/30/2020
Torrance,,43,33.8408,-118.3454,3/30/2020
Walnut,,3,34.0203,-117.8653,3/30/2020
West Covina,,7,34.0686,-117.9390,3/30/2020
West Hollywood,,53,34.0907,-118.3860,3/30/2020
Whittier,,8,33.9679,-118.0189,3/30/2020
Arleta,,5,34.2419,-118.4256,3/30/2020
Baldwin Hills,,9,34.0047,-118.3415,3/30/2020
Bel Air,,9,34.0833,-118.4487,3/30/2020
Beverly Crest,,19,34.1024,-118.4163,3/30/2020
Beverlywood,,11,34.0409,-118.3919,3/30/2020
Boyle Heights,,11,34.0339,-118.2054,3/30/2020
Brentwood,,34,34.0519,-118.4731,3/30/2020
Canoga Park,,4,34.2011,-118.5981,3/30/2020
Carthay,,15,34.0573,-118.3679,3/30/2020
Central,,6,34.0833,-118.4487,3/30/2020
Century City,,9,34.0556,-118.4179,3/30/2020
Century Palms/Cove,,8,33.9461,-118.2732,3/30/2020
Chatsworth,,10,34.2506,-118.6148,3/30/2020
Cheviot Hills,,5,34.0458,-118.4079,3/30/2020
Crestview,,13,34.0458,-118.3816,3/30/2020
Del Rey,,14,33.9878,-118.4229,3/30/2020
Downtown,,11,34.0422,-118.2488,3/30/2020
Eagle Rock,,8,34.1322,-118.2117,3/30/2020
East Hollywood,,10,34.0948,-118.2910,3/30/2020
Echo Park,,5,34.0782,-118.2606,3/30/2020
El Sereno,,3,34.0875,-118.1715,3/30/2020
Encino,,29,34.1517,-118.5214,3/30/2020
Exposition Park,,4,34.0147,-118.2872,3/30/2020
Florence-Firestone,,7,33.9632,-118.2426,3/30/2020
Glassell Park,,8,34.1161,-118.2290,3/30/2020
Granada Hills,,9,34.2794,-118.5022,3/30/2020
Hancock Park,,26,34.0745,-118.3304,3/30/2020
Harbor City,,4,33.7900,-118.2978,3/30/2020
Harbor Gateway,,6,33.8501,-118.2991,3/30/2020
Harvard Park,,3,33.9841,-118.3042,3/30/2020
Highland Park,,9,34.1145,-118.1842,3/30/2020
Hollywood,,49,34.1016,-118.3337,3/30/2020
Hollywood Hills,,26,34.1341,-118.3215,3/30/2020
Hyde Park,,6,33.9819,-118.3309,3/30/2020
Koreatown,,13,34.0578,-118.3009,3/30/2020
Lake Balboa,,11,34.1839,-118.4954,3/30/2020
Lincoln Heights,,2,34.0706,-118.2051,3/30/2020
Little Bangladesh,,5,34.0691,-118.2956,3/30/2020
Los Feliz,,11,34.1124,-118.2851,3/30/2020
Mar Vista,,13,34.0037,-118.4690,3/30/2020
Melrose,,82,34.0837,-118.3366,3/30/2020
Mid-city,,10,34.0429,-118.3344,3/30/2020
Miracle Mile,,10,34.0597,-118.3500,3/30/2020
Mission Hills,,6,34.2723,-118.4689,3/30/2020
North Hills,,7,34.2362,-118.4851,3/30/2020
North Hollywood,,34,34.1870,-118.3813,3/30/2020
Northridge,,8,34.2379,-118.5302,3/30/2020
Pacific Palisades,,18,34.0481,-118.5265,3/30/2020
Pacoima,,4,34.2625,-118.4270,3/30/2020
Palms,,21,34.0237,-118.4151,3/30/2020
Panorama City,,7,34.2247,-118.4498,3/30/2020
Pico-Union,,5,34.0446,-118.2770,3/30/2020
Playa Vista,,5,33.9728,-118.4276,3/30/2020
Porter Ranch,,6,39.4346,-121.0205,3/30/2020
Reseda,,20,34.2011,-118.5360,3/30/2020
San Pedro,,11,33.7361,-118.2922,3/30/2020
Sherman Oaks,,32,34.1500,-118.4489,3/30/2020
Silverlake,,18,34.0869,-118.2702,3/30/2020
South Carthay,,8,34.0561,-118.3734,3/30/2020
South Park,,4,34.0418,-118.2639,3/30/2020
Studio City,,15,34.1413,-118.3878,3/30/2020
Sun Valley,,6,34.2274,-118.3811,3/30/2020
Sylmar,,18,34.3058,-118.4572,3/30/2020
Tarzana,,24,34.1509,-118.5517,3/30/2020
Temple-Beaudry,,8,34.0629,-118.2513,3/30/2020
Tujunga,,4,34.2633,-118.3027,3/30/2020
University Park,,6,34.0315,-118.2797,3/30/2020
Valley Glen,,4,34.1838,-118.4172,3/30/2020
Valley Village,,19,34.1633,-118.3842,3/30/2020
Van Nuys,,10,34.1899,-118.4514,3/30/2020
Venice,,18,33.9764,-118.4667,3/30/2020
Vermont Vista,,5,33.9465,-118.2826,3/30/2020
Vernon Central,,4,34.0043,-118.2570,3/30/2020
Watts,,2,33.9386,-118.2380,3/30/2020
West Adams,,9,34.0342,-118.3623,3/30/2020
West Hills,,7,34.1973,-118.6440,3/30/2020
West Los Angeles,,19,34.0399,-118.4422,3/30/2020
West Vernon,,9,34.0039,-118.2301,3/30/2020
Westchester,,17,33.9597,-118.4006,3/30/2020
Westlake,,7,34.1458,-118.8056,3/30/2020
Westwood,,26,34.0561,-118.4297,3/30/2020
Wholesale District,,10,34.0300,-118.2452,3/30/2020
Wilmington,,10,33.7800,-118.2617,3/30/2020
Wilshire Center,,8,34.0642,-118.2984,3/30/2020
Winnetka,,9,34.2059,-118.5754,3/30/2020
Woodland Hills,,22,34.1659,-118.6104,3/30/2020
Altadena,,10,34.1902,-118.1313,3/30/2020
Athens-Westmont,,7,33.9238,-118.3019,3/30/2020
Castaic,,3,34.4889,-118.6229,3/30/2020
East Los Angeles,,11,34.0316,-118.1724,3/30/2020
Hacienda Heights,,2,33.9931,-117.9687,3/30/2020
Lennox,,7,33.9397,-118.3529,3/30/2020
Rowland Heights,,3,33.9761,-117.9053,3/30/2020
South Whittier,,5,33.9608,-118.0417,3/30/2020
West Carson,,8,33.8206,-118.2934,3/30/2020
Willowbrook,,2,33.9170,-118.2551,3/30/2020
- Under Investigation,,222,#N/A,#N/A,3/30/2020
Long Beach,,99,33.7701,-118.1937,3/30/2020
Pasadena,,10,34.1561,-118.1319,3/30/2020
Agoura Hills,,11,34.1364,-118.7745,3/31/2020
Alhambra,,13,34.0953,-118.1270,3/31/2020
Arcadia,,10,34.1397,-118.0353,3/31/2020
Azusa,,5,34.1336,-117.9076,3/31/2020
Baldwin Park,,2,34.0853,-117.9609,3/31/2020
Bell,,12,33.9761,-118.1851,3/31/2020
Bell Gardens,,4,33.9653,-118.1515,3/31/2020
Bellflower,,20,33.8822,-118.1180,3/31/2020
Beverly Hills,,35,34.0736,-118.4004,3/31/2020
Burbank,,27,34.1808,-118.3090,3/31/2020
Calabasas,,13,34.1383,-118.6608,3/31/2020
Carson,,39,33.8374,-118.2559,3/31/2020
Cerritos,,6,33.8584,-118.0648,3/31/2020
Claremont,,2,34.1261,-117.7158,3/31/2020
Compton,,16,33.8958,-118.2201,3/31/2020
Covina,,7,34.0900,-117.8903,3/31/2020
Culver City,,15,34.0211,-118.3965,3/31/2020
Diamond Bar,,3,34.0286,-117.8103,3/31/2020
Downey,,31,33.9451,-118.1281,3/31/2020
El Monte,,4,34.0733,-118.0275,3/31/2020
Gardena,,12,33.8938,-118.3080,3/31/2020
Glendale,,76,34.1425,-118.2551,3/31/2020
Glendora,,7,34.1361,-117.8653,3/31/2020
Hawthorne,,19,33.9194,-118.3540,3/31/2020
Hermosa Beach,,9,33.8621,-118.4000,3/31/2020
Huntington Park,,11,33.9849,-118.2278,3/31/2020
Inglewood,,31,33.9610,-118.3554,3/31/2020
La Canada Flintridge,,8,34.2091,-118.2001,3/31/2020
La Mirada,,8,33.9190,-118.0105,3/31/2020
La Puente,,3,34.0200,-117.9495,3/31/2020
La Verne,,2,34.1202,-117.7704,3/31/2020
Lakewood,,16,33.8536,-118.1340,3/31/2020
Lancaster,,31,34.6868,-118.1542,3/31/2020
Lawndale,,6,33.8881,-118.3535,3/31/2020
Lynwood,,18,33.9293,-118.2139,3/31/2020
Manhattan Beach,,40,33.8812,-118.4072,3/31/2020
Maywood,,6,33.9885,-118.1874,3/31/2020
Monrovia,,5,34.1481,-117.9990,3/31/2020
Montebello,,5,34.0095,-118.1054,3/31/2020
Monterey Park,,7,34.0625,-118.1228,3/31/2020
Norwalk,,21,33.9022,-118.0817,3/31/2020
Palmdale,,14,34.5794,-118.1093,3/31/2020
Palos Verdes Estates,,14,33.7871,-118.3976,3/31/2020
Paramount,,8,33.8895,-118.1598,3/31/2020
Pico Rivera,,9,33.9831,-118.0967,3/31/2020
Pomona,,10,34.0551,-117.7500,3/31/2020
Rancho Palos Verdes,,13,33.7445,-118.3870,3/31/2020
Redondo Beach,,39,33.8492,-118.3884,3/31/2020
Rosemead,,2,34.0806,-118.0728,3/31/2020
San Dimas,,4,34.1067,-117.8067,3/31/2020
San Gabriel,,6,34.0968,-118.1057,3/31/2020
Santa Clarita,,48,34.3917,-118.5426,3/31/2020
Santa Monica,,49,34.0242,-118.4965,3/31/2020
South Gate,,19,33.9560,-118.2113,3/31/2020
South Pasadena,,6,34.1165,-118.1468,3/31/2020
Temple City,,1,34.1072,-118.0579,3/31/2020
Torrance,,53,33.8408,-118.3454,3/31/2020
Walnut,,3,34.0203,-117.8653,3/31/2020
West Covina,,7,34.0686,-117.9390,3/31/2020
West Hollywood,,56,34.0907,-118.3860,3/31/2020
Whittier,,12,33.9679,-118.0189,3/31/2020
Adams-Normandie,,5,34.0343,-118.2993,3/31/2020
Arleta,,7,34.2419,-118.4256,3/31/2020
Baldwin Hills,,11,34.0047,-118.3415,3/31/2020
Bel Air,,11,34.0833,-118.4487,3/31/2020
Beverly Crest,,20,34.1024,-118.4163,3/31/2020
Beverlywood,,13,34.0409,-118.3919,3/31/2020
Boyle Heights,,11,34.0339,-118.2054,3/31/2020
Brentwood,,36,34.0519,-118.4731,3/31/2020
Canoga Park,,7,34.2011,-118.5981,3/31/2020
Carthay,,16,34.0573,-118.3679,3/31/2020
Central,,11,34.0833,-118.4487,3/31/2020
Century City,,13,34.0556,-118.4179,3/31/2020
Century Palms/Cove,,10,33.9461,-118.2732,3/31/2020
Chatsworth,,14,34.2506,-118.6148,3/31/2020
Cheviot Hills,,6,34.0458,-118.4079,3/31/2020
Country Club Park,,5,34.0503,-118.3212,3/31/2020
Crestview,,13,34.0458,-118.3816,3/31/2020
Del Rey,,16,33.9878,-118.4229,3/31/2020
Downtown,,14,34.0422,-118.2488,3/31/2020
Eagle Rock,,10,34.1322,-118.2117,3/31/2020
East Hollywood,,13,34.0948,-118.2910,3/31/2020
Echo Park,,5,34.0782,-118.2606,3/31/2020
El Sereno,,3,34.0875,-118.1715,3/31/2020
Encino,,30,34.1517,-118.5214,3/31/2020
Exposition Park,,7,34.0147,-118.2872,3/31/2020
Florence-Firestone,,12,33.9632,-118.2426,3/31/2020
Glassell Park,,11,34.1161,-118.2290,3/31/2020
Granada Hills,,10,34.2794,-118.5022,3/31/2020
Green Meadows,,7,33.9556,-118.2694,3/31/2020
Hancock Park,,30,34.0745,-118.3304,3/31/2020
Harbor City,,5,33.7900,-118.2978,3/31/2020
Harbor Gateway,,9,33.8501,-118.2991,3/31/2020
Harvard Park,,4,33.9841,-118.3042,3/31/2020
Highland Park,,9,34.1145,-118.1842,3/31/2020
Hollywood,,61,34.1016,-118.3337,3/31/2020
Hollywood Hills,,29,34.1341,-118.3215,3/31/2020
Hyde Park,,7,33.9819,-118.3309,3/31/2020
Koreatown,,14,34.0578,-118.3009,3/31/2020
Lake Balboa,,11,34.1839,-118.4954,3/31/2020
Lakeview Terrace,,5,34.2764,-118.3612,3/31/2020
Lincoln Heights,,4,34.0706,-118.2051,3/31/2020
Little Bangladesh,,5,34.0691,-118.2956,3/31/2020
Los Feliz,,13,34.1124,-118.2851,3/31/2020
Mar Vista,,13,34.0037,-118.4690,3/31/2020
Melrose,,100,34.0837,-118.3366,3/31/2020
Mid-city,,11,34.0429,-118.3344,3/31/2020
Miracle Mile,,12,34.0597,-118.3500,3/31/2020
Mission Hills,,6,34.2723,-118.4689,3/31/2020
North Hills,,9,34.2362,-118.4851,3/31/2020
North Hollywood,,39,34.1870,-118.3813,3/31/2020
Northridge,,9,34.2379,-118.5302,3/31/2020
Pacific Palisades,,22,34.0481,-118.5265,3/31/2020
Pacoima,,5,34.2625,-118.4270,3/31/2020
Palms,,25,34.0237,-118.4151,3/31/2020
Panorama City,,7,34.2247,-118.4498,3/31/2020
Pico-Union,,7,34.0446,-118.2770,3/31/2020
Playa Vista,,7,33.9728,-118.4276,3/31/2020
Porter Ranch,,8,39.4346,-121.0205,3/31/2020
Reseda,,20,34.2011,-118.5360,3/31/2020
San Pedro,,14,33.7361,-118.2922,3/31/2020
Sherman Oaks,,33,34.1500,-118.4489,3/31/2020
