neighborhood,current_cases,lat,long,ds
Alhambra,1,34.0953,-118.1270,2020-03-18
Arcadia,2,34.1397,-118.0353,2020-03-18
Beverly Hills,4,34.0736,-118.4004,2020-03-18
Carson,1,33.8374,-118.2559,2020-03-18
Culver City,2,34.0211,-118.3965,2020-03-18
Diamond Bar,2,34.0286,-117.8103,2020-03-18
Gardena,1,33.8938,-118.3080,2020-03-18
Glendale,4,34.1425,-118.2551,2020-03-18
Inglewood,1,33.9610,-118.3554,2020-03-18
La Mirada,3,33.9190,-118.0105,2020-03-18
Baldwin Hills,1,34.0047,-118.3415,2020-03-18
Boyle Heights,5,34.0339,-118.2054,2020-03-18
Brentwood,2,34.0519,-118.4731,2020-03-18
Century Palms/Cove,1,33.9461,-118.2732,2020-03-18
Eagle Rock,1,34.1322,-118.2117,2020-03-18
Encino,6,34.1517,-118.5214,2020-03-18
Granada Hills,3,34.2794,-118.5022,2020-03-18
Hollywood,5,34.1016,-118.3337,2020-03-18
Hollywood Hills,2,34.1341,-118.3215,2020-03-18
Koreatown,1,34.0578,-118.3009,2020-03-18
Mar Vista,1,34.0037,-118.4690,2020-03-18
Melrose,10,34.0837,-118.3366,2020-03-18
North Hollywood,2,34.1870,-118.3813,2020-03-18
Northridge,1,34.2379,-118.5302,2020-03-18
Reseda,1,34.2011,-118.5360,2020-03-18
San Pedro,1,33.7361,-118.2922,2020-03-18
Sherman Oaks,4,34.1500,-118.4489,2020-03-18
Silverlake,1,34.0869,-118.2702,2020-03-18
Sylmar,1,34.3058,-118.4572,2020-03-18
Tarzana,5,34.1509,-118.5517,2020-03-18
Venice,4,33.9764,-118.4667,2020-03-18
West Adams,1,34.0342,-118.3623,2020-03-18
West Hills,3,34.1973,-118.6440,2020-03-18
West Los Angeles,1,34.0399,-118.4422,2020-03-18
West Vernon,1,34.0039,-118.2301,2020-03-18
Westchester,2,33.9597,-118.4006,2020-03-18
Woodland Hills,3,34.1659,-118.6104,2020-03-18
Lynwood,1,33.9293,-118.2139,2020-03-18
Manhattan Beach,4,33.8812,-118.4072,2020-03-18
Monterey Park,2,34.0625,-118.1228,2020-03-18
San Dimas,1,34.1067,-117.8067,2020-03-18
Santa Clarita,2,34.3917,-118.5426,2020-03-18
Santa Monica,3,34.0242,-118.4965,2020-03-18
South Pasadena,1,34.1165,-118.1468,2020-03-18
Torrance,2,33.8408,-118.3454,2020-03-18
Walnut,1,34.0203,-117.8653,2020-03-18
West Hollywood,11,34.0907,-118.3860,2020-03-18
Alhambra,2,34.0953,-118.1270,2020-03-19
Arcadia,2,34.1397,-118.0353,2020-03-19
Baldwin Hills,1,34.0047,-118.3415,2020-03-19
Beverly Hills,4,34.0736,-118.4004,2020-03-19
Beverlywood,2,34.0409,-118.3919,2020-03-19
Boyle Heights,5,34.0339,-118.2054,2020-03-19
Brentwood,13,34.0519,-118.4731,2020-03-19
Burbank,1,34.1808,-118.3090,2020-03-19
Calabasas,1,34.1383,-118.6608,2020-03-19
Carson,1,33.8374,-118.2559,2020-03-19
Castaic,1,34.4889,-118.6229,2020-03-19
Covina,1,34.0900,-117.8903,2020-03-19
Crestview,1,34.0458,-118.3816,2020-03-19
Culver City,3,34.0211,-118.3965,2020-03-19
Diamond Bar,2,34.0286,-117.8103,2020-03-19
Eagle Rock,1,34.1322,-118.2117,2020-03-19
East Los Angeles,1,34.0316,-118.1724,2020-03-19
Echo Park,1,34.0782,-118.2606,2020-03-19
Encino,6,34.1517,-118.5214,2020-03-19
Gardena,1,33.8938,-118.3080,2020-03-19
Glendale,4,34.1425,-118.2551,2020-03-19
Granada Hills,4,34.2794,-118.5022,2020-03-19
Hancock Park,2,34.0745,-118.3304,2020-03-19
Hawthorne,1,33.9194,-118.3540,2020-03-19
Hollywood Hills,2,34.1341,-118.3215,2020-03-19
Hollywood,5,34.1016,-118.3337,2020-03-19
Inglewood,2,33.9610,-118.3554,2020-03-19
Koreatown,1,34.0578,-118.3009,2020-03-19
La Mirada,3,33.9190,-118.0105,2020-03-19
Lawndale,1,33.8881,-118.3535,2020-03-19
Lomita,5,33.7922,-118.3151,2020-03-19
Lynwood,1,33.9293,-118.2139,2020-03-19
Manhattan Beach,5,33.8812,-118.4072,2020-03-19
Mar Vista,1,34.0037,-118.4690,2020-03-19
Melrose,11,34.0837,-118.3366,2020-03-19
Monterey Park,2,34.0625,-118.1228,2020-03-19
North Hollywood,3,34.1870,-118.3813,2020-03-19
Northridge,1,34.2379,-118.5302,2020-03-19
Pacific Palisades,5,34.0481,-118.5265,2020-03-19
Palms,1,34.0237,-118.4151,2020-03-19
Park LaBrea,3,34.0702,-118.3497,2020-03-19
Playa Vista,1,33.9728,-118.4276,2020-03-19
Reseda,1,34.2011,-118.5360,2020-03-19
San Dimas,1,34.1067,-117.8067,2020-03-19
San Pedro,1,33.7361,-118.2922,2020-03-19
Santa Clarita,3,34.3917,-118.5426,2020-03-19
Santa Monica Mountains,2,34.1203,-118.9318,2020-03-19
Santa Monica,2,34.0242,-118.4965,2020-03-19
Sherman Oaks,5,34.1500,-118.4489,2020-03-19
South El Monte,1,34.0493,-118.0469,2020-03-19
South Pasadena,1,34.1165,-118.1468,2020-03-19
Stevenson Ranch,1,34.3873,-118.5802,2020-03-19
Studio City,3,34.1413,-118.3878,2020-03-19
Sylmar,1,34.3058,-118.4572,2020-03-19
Tarzana,5,34.1509,-118.5517,2020-03-19
Torrance,2,33.8408,-118.3454,2020-03-19
Tujunga,1,34.2633,-118.3027,2020-03-19
University Park,1,34.0315,-118.2797,2020-03-19
Valley Glen,1,34.1838,-118.4172,2020-03-19
Van Nuys,1,34.1899,-118.4514,2020-03-19
Venice,4,33.9764,-118.4667,2020-03-19
Vermont Knolls,1,33.9293,-118.2893,2020-03-19
Walnut,1,34.0203,-117.8653,2020-03-19
West Adams,1,34.0342,-118.3623,2020-03-19
West Hills,3,34.1973,-118.6440,2020-03-19
West Hollywood,12,34.0907,-118.3860,2020-03-19
West Los Angeles,2,34.0399,-118.4422,2020-03-19
West Vernon,1,34.0039,-118.2301,2020-03-19
Westchester,3,33.9597,-118.4006,2020-03-19
Westwood,2,34.0561,-118.4297,2020-03-19
Whittier,2,33.9679,-118.0189,2020-03-19
Woodland Hills,3,34.1659,-118.6104,2020-03-19
Under Investigation,30,#N/A,#N/A,2020-03-19
Long Beach,12,33.7701,-118.1937,2020-03-19
Pasadena,2,34.1561,-118.1319,2020-03-19
Alhambra,3,34.0953,-118.1270,2020-03-20
Altadena,2,34.1902,-118.1313,2020-03-20
Arcadia,2,34.1397,-118.0353,2020-03-20
Baldwin Hills,1,34.0047,-118.3415,2020-03-20
Beverly Hills,5,34.0736,-118.4004,2020-03-20
Beverlywood,2,34.0409,-118.3919,2020-03-20
Boyle Heights,5,34.0339,-118.2054,2020-03-20
Brentwood,16,34.0519,-118.4731,2020-03-20
Burbank,1,34.1808,-118.3090,2020-03-20
Calabasas,1,34.1383,-118.6608,2020-03-20
Carson,3,33.8374,-118.2559,2020-03-20
Castaic,1,34.4889,-118.6229,2020-03-20
Century City,4,34.0556,-118.4179,2020-03-20
Century Palms/Cove,1,33.9461,-118.2732,2020-03-20
Covina,1,34.0900,-117.8903,2020-03-20
Crestview,1,34.0458,-118.3816,2020-03-20
Culver City,4,34.0211,-118.3965,2020-03-20
Diamond Bar,2,34.0286,-117.8103,2020-03-20
Downtown,1,34.0422,-118.2488,2020-03-20
Eagle Rock,1,34.1322,-118.2117,2020-03-20
East Los Angeles,1,34.0316,-118.1724,2020-03-20
Echo Park,1,34.0782,-118.2606,2020-03-20
El Segundo,1,33.9192,-118.4165,2020-03-20
Encino,8,34.1517,-118.5214,2020-03-20
Gardena,1,33.8938,-118.3080,2020-03-20
Glendale,4,34.1425,-118.2551,2020-03-20
Granada Hills,4,34.2794,-118.5022,2020-03-20
Hancock Park,2,34.0745,-118.3304,2020-03-20
Hawthorne,2,33.9194,-118.3540,2020-03-20
Hollywood,7,34.1016,-118.3337,2020-03-20
Hollywood Hills,2,34.1341,-118.3215,2020-03-20
Inglewood,2,33.9610,-118.3554,2020-03-20
Koreatown,1,34.0578,-118.3009,2020-03-20
La Mirada,3,33.9190,-118.0105,2020-03-20
Lake Balboa,1,34.1839,-118.4954,2020-03-20
Lakewood,1,33.8536,-118.1340,2020-03-20
Lancaster,3,34.6868,-118.1542,2020-03-20
Lawndale,1,33.8881,-118.3535,2020-03-20
Lomita,5,33.7922,-118.3151,2020-03-20
Lynwood,1,33.9293,-118.2139,2020-03-20
Manhattan Beach,6,33.8812,-118.4072,2020-03-20
Mar Vista,3,34.0037,-118.4690,2020-03-20
Melrose,11,34.0837,-118.3366,2020-03-20
Miracle Mile,1,34.0597,-118.3500,2020-03-20
Monterey Park,2,34.0625,-118.1228,2020-03-20
North Hollywood,5,34.1870,-118.3813,2020-03-20
Northridge,1,34.2379,-118.5302,2020-03-20
Pacific Palisades,6,34.0481,-118.5265,2020-03-20
Palms,1,34.0237,-118.4151,2020-03-20
Park LaBrea,4,34.0702,-118.3497,2020-03-20
Playa Vista,1,33.9728,-118.4276,2020-03-20
Redondo Beach,1,33.8492,-118.3884,2020-03-20
Reseda,2,34.2011,-118.5360,2020-03-20
San Dimas,1,34.1067,-117.8067,2020-03-20
San Fernado,1,34.2819,-118.4390,2020-03-20
San Pedro,1,33.7361,-118.2922,2020-03-20
Santa Clarita,4,34.3917,-118.5426,2020-03-20
Santa Monica,4,34.0242,-118.4965,2020-03-20
Santa Monica Mountains,2,34.1203,-118.9318,2020-03-20
Sherman Oaks,6,34.1500,-118.4489,2020-03-20
South El Monte,1,34.0493,-118.0469,2020-03-20
South Pasadena,2,34.1165,-118.1468,2020-03-20
South Whittier,1,33.9608,-118.0417,2020-03-20
Stevenson Ranch,1,34.3873,-118.5802,2020-03-20
Studio City,3,34.1413,-118.3878,2020-03-20
Sylmar,1,34.3058,-118.4572,2020-03-20
Tarzana,6,34.1509,-118.5517,2020-03-20
Torrance,2,33.8408,-118.3454,2020-03-20
Tujunga,1,34.2633,-118.3027,2020-03-20
University Park,1,34.0315,-118.2797,2020-03-20
Valley Glen,3,34.1838,-118.4172,2020-03-20
Van Nuys,1,34.1899,-118.4514,2020-03-20
Venice,4,33.9764,-118.4667,2020-03-20
Vermont Knolls,1,33.9293,-118.2893,2020-03-20
Walnut,2,34.0203,-117.8653,2020-03-20
West Adams,1,34.0342,-118.3623,2020-03-20
West Hills,3,34.1973,-118.6440,2020-03-20
West Hollywood,15,34.0907,-118.3860,2020-03-20
West Los Angeles,3,34.0399,-118.4422,2020-03-20
West Vernon,1,34.0039,-118.2301,2020-03-20
Westchester,3,33.9597,-118.4006,2020-03-20
Westwood,5,34.0561,-118.4297,2020-03-20
Whittier,2,33.9679,-118.0189,2020-03-20
Winnetka,1,34.2059,-118.5754,2020-03-20
Woodland Hills,4,34.1659,-118.6104,2020-03-20
Under Investigation,39,#N/A,#N/A,2020-03-20
Long Beach,12,33.7701,-118.1937,2020-03-20
Pasadena,2,34.1561,-118.1319,2020-03-20
Alhambra,3,34.0953,-118.1270,2020-03-21
Altadena,3,34.1902,-118.1313,2020-03-21
Arcadia,2,34.1397,-118.0353,2020-03-21
Baldwin Hills,2,34.0047,-118.3415,2020-03-21
Beverly Hills,7,34.0736,-118.4004,2020-03-21
Beverlywood,5,34.0409,-118.3919,2020-03-21
Boyle Heights,5,34.0339,-118.2054,2020-03-21
Brentwood,18,34.0519,-118.4731,2020-03-21
Burbank,1,34.1808,-118.3090,2020-03-21
Calabasas,1,34.1383,-118.6608,2020-03-21
Carson,3,33.8374,-118.2559,2020-03-21
Castaic,1,34.4889,-118.6229,2020-03-21
Century City,4,34.0556,-118.4179,2020-03-21
Century Palms/Cove,1,33.9461,-118.2732,2020-03-21
Cerritos,1,33.8584,-118.0648,2020-03-21
Covina,1,34.0900,-117.8903,2020-03-21
Crestview,4,34.0458,-118.3816,2020-03-21
Culver City,4,34.0211,-118.3965,2020-03-21
Del Rey,2,33.9878,-118.4229,2020-03-21
Diamond Bar,2,34.0286,-117.8103,2020-03-21
Downtown,1,34.0422,-118.2488,2020-03-21
Eagle Rock,1,34.1322,-118.2117,2020-03-21
East Los Angeles,1,34.0316,-118.1724,2020-03-21
Echo Park,1,34.0782,-118.2606,2020-03-21
El Segundo,2,33.9192,-118.4165,2020-03-21
Encino,10,34.1517,-118.5214,2020-03-21
Gardena,1,33.8938,-118.3080,2020-03-21
Glendale,5,34.1425,-118.2551,2020-03-21
Granada Hills,4,34.2794,-118.5022,2020-03-21
Hancock Park,4,34.0745,-118.3304,2020-03-21
Hawthorne,2,33.9194,-118.3540,2020-03-21
Hollywood,12,34.1016,-118.3337,2020-03-21
Hollywood Hills,2,34.1341,-118.3215,2020-03-21
Inglewood,2,33.9610,-118.3554,2020-03-21
Koreatown,1,34.0578,-118.3009,2020-03-21
La Canada Flintridge,1,34.2091,-118.2001,2020-03-21
La Mirada,3,33.9190,-118.0105,2020-03-21
La Verne,1,34.1202,-117.7704,2020-03-21
Lake Balboa,1,34.1839,-118.4954,2020-03-21
Lakewood,1,33.8536,-118.1340,2020-03-21
Lancaster,3,34.6868,-118.1542,2020-03-21
Lawndale,1,33.8881,-118.3535,2020-03-21
Lomita,7,33.7922,-118.3151,2020-03-21
Lynwood,1,33.9293,-118.2139,2020-03-21
Manhattan Beach,7,33.8812,-118.4072,2020-03-21
Mar Vista,4,34.0037,-118.4690,2020-03-21
Melrose,12,34.0837,-118.3366,2020-03-21
Miracle Mile,1,34.0597,-118.3500,2020-03-21
Montebello,1,34.0095,-118.1054,2020-03-21
Monterey Park,3,34.0625,-118.1228,2020-03-21
North Hollywood,5,34.1870,-118.3813,2020-03-21
Northridge,1,34.2379,-118.5302,2020-03-21
Pacific Palisades,7,34.0481,-118.5265,2020-03-21
Palms,1,34.0237,-118.4151,2020-03-21
Park La Brea,4,34.0702,-118.3497,2020-03-21
Playa Vista,2,33.9728,-118.4276,2020-03-21
Redondo Beach,2,33.8492,-118.3884,2020-03-21
Reseda,3,34.2011,-118.5360,2020-03-21
San Dimas,1,34.1067,-117.8067,2020-03-21
San Fernando,1,34.2819,-118.4390,2020-03-21
San Pedro,1,33.7361,-118.2922,2020-03-21
Santa Clarita,4,34.3917,-118.5426,2020-03-21
Santa Monica,5,34.0242,-118.4965,2020-03-21
Santa Monica Mountains,3,34.1203,-118.9318,2020-03-21
Sherman Oaks,7,34.1500,-118.4489,2020-03-21
Silverlake,3,34.0869,-118.2702,2020-03-21
South El Monte,1,34.0493,-118.0469,2020-03-21
South Pasadena,2,34.1165,-118.1468,2020-03-21
South Whittier,1,33.9608,-118.0417,2020-03-21
Stevenson Ranch,1,34.3873,-118.5802,2020-03-21
Studio City,4,34.1413,-118.3878,2020-03-21
Sun Valley,1,34.2274,-118.3811,2020-03-21
Sunland,1,34.2660,-118.3114,2020-03-21
Sylmar,1,34.3058,-118.4572,2020-03-21
Tarzana,7,34.1509,-118.5517,2020-03-21
Torrance,2,33.8408,-118.3454,2020-03-21
Tujunga,1,34.2633,-118.3027,2020-03-21
University Park,1,34.0315,-118.2797,2020-03-21
Valley Glen,6,34.1838,-118.4172,2020-03-21
Van Nuys,2,34.1899,-118.4514,2020-03-21
Venice,6,33.9764,-118.4667,2020-03-21
Vermont Knolls,1,33.9293,-118.2893,2020-03-21
Vermont Vista,1,33.9465,-118.2826,2020-03-21
Vernon Central,1,34.0043,-118.2570,2020-03-21
Walnut,1,34.0203,-117.8653,2020-03-21
West Adams,2,34.0342,-118.3623,2020-03-21
West Covina,1,34.0686,-117.9390,2020-03-21
West Hills,4,34.1973,-118.6440,2020-03-21
West Hollywood,18,34.0907,-118.3860,2020-03-21
West Los Angeles,3,34.0399,-118.4422,2020-03-21
West Vernon,2,34.0039,-118.2301,2020-03-21
Westchester,3,33.9597,-118.4006,2020-03-21
Westlake,1,34.1458,-118.8056,2020-03-21
Westwood,5,34.0561,-118.4297,2020-03-21
Whittier,2,33.9679,-118.0189,2020-03-21
Winnetka,1,34.2059,-118.5754,2020-03-21
Woodland Hills,5,34.1659,-118.6104,2020-03-21
-Under Investigation,31,#N/A,#N/A,2020-03-21
Pasadena,3,34.1561,-118.1319,2020-03-21
Long Beach,13,33.7701,-118.1937,2020-03-21
Alhambra,3,34.0953,-118.1270,2020-03-22
Altadena,3,34.1902,-118.1313,2020-03-22
Arcadia,2,34.1397,-118.0353,2020-03-22
Athens,1,33.9200,-118.2812,2020-03-22
Baldwin Hills,3,34.0047,-118.3415,2020-03-22
Bellflower,1,33.8822,-118.1180,2020-03-22
Beverly Hills,8,34.0736,-118.4004,2020-03-22
Beverlywood,6,34.0409,-118.3919,2020-03-22
Boyle Heights,5,34.0339,-118.2054,2020-03-22
Brentwood,23,34.0519,-118.4731,2020-03-22
Burbank,2,34.1808,-118.3090,2020-03-22
Calabasas,2,34.1383,-118.6608,2020-03-22
Canoga Park,1,34.2011,-118.5981,2020-03-22
Carson,4,33.8374,-118.2559,2020-03-22
Castaic,1,34.4889,-118.6229,2020-03-22
Century City,4,34.0556,-118.4179,2020-03-22
Century Palms/Cove,1,33.9461,-118.2732,2020-03-22
Cerritos,2,33.8584,-118.0648,2020-03-22
Covina,1,34.0900,-117.8903,2020-03-22
Crestview,5,34.0458,-118.3816,2020-03-22
Culver City,4,34.0211,-118.3965,2020-03-22
Del Rey,2,33.9878,-118.4229,2020-03-22
Diamond Bar,2,34.0286,-117.8103,2020-03-22
Downtown,1,34.0422,-118.2488,2020-03-22
Eagle Rock,1,34.1322,-118.2117,2020-03-22
East Hollywood,1,34.0948,-118.2910,2020-03-22
East Los Angeles,2,34.0316,-118.1724,2020-03-22
Echo Park,1,34.0782,-118.2606,2020-03-22
El Segundo,1,33.9192,-118.4165,2020-03-22
Encino,10,34.1517,-118.5214,2020-03-22
Gardena,1,33.8938,-118.3080,2020-03-22
Glendale,6,34.1425,-118.2551,2020-03-22
Glendora,1,34.1361,-117.8653,2020-03-22
Granada Hills,4,34.2794,-118.5022,2020-03-22
Hancock Park,5,34.0745,-118.3304,2020-03-22
Hawthorne,2,33.9194,-118.3540,2020-03-22
Hollywood,12,34.1016,-118.3337,2020-03-22
Hollywood Hills,5,34.1341,-118.3215,2020-03-22
Inglewood,3,33.9610,-118.3554,2020-03-22
Koreatown,2,34.0578,-118.3009,2020-03-22
La Canada Flintridge,1,34.2091,-118.2001,2020-03-22
La Mirada,3,33.9190,-118.0105,2020-03-22
La Verne,2,34.1202,-117.7704,2020-03-22
Lake Balboa,1,34.1839,-118.4954,2020-03-22
Lakewood,1,33.8536,-118.1340,2020-03-22
Lancaster,4,34.6868,-118.1542,2020-03-22
Lawndale,1,33.8881,-118.3535,2020-03-22
Lomita,8,33.7922,-118.3151,2020-03-22
Los Feliz,1,34.1124,-118.2851,2020-03-22
Lynwood,2,33.9293,-118.2139,2020-03-22
Manhattan Beach,7,33.8812,-118.4072,2020-03-22
Mar Vista,5,34.0037,-118.4690,2020-03-22
Melrose,17,34.0837,-118.3366,2020-03-22
Miracle Mile,4,34.0597,-118.3500,2020-03-22
Monterey Park,3,34.0625,-118.1228,2020-03-22
North Hollywood,5,34.1870,-118.3813,2020-03-22
Northridge,1,34.2379,-118.5302,2020-03-22
Pacific Palisades,7,34.0481,-118.5265,2020-03-22
Palms,1,34.0237,-118.4151,2020-03-22
Paramount,1,33.8895,-118.1598,2020-03-22
Park La Brea,4,34.0702,-118.3497,2020-03-22
Playa Vista,2,33.9728,-118.4276,2020-03-22
Rancho Palos Verdes,1,33.7445,-118.3870,2020-03-22
Redondo Beach,4,33.8492,-118.3884,2020-03-22
Reseda,2,34.2011,-118.5360,2020-03-22
San Dimas,1,34.1067,-117.8067,2020-03-22
San Fernando,1,34.2819,-118.4390,2020-03-22
San Pedro,1,33.7361,-118.2922,2020-03-22
Santa Clarita,4,34.3917,-118.5426,2020-03-22
Santa Monica,7,34.0242,-118.4965,2020-03-22
Santa Monica Mountains,2,34.1203,-118.9318,2020-03-22
Sherman Oaks,7,34.1500,-118.4489,2020-03-22
Silverlake,3,34.0869,-118.2702,2020-03-22
South El Monte,1,34.0493,-118.0469,2020-03-22
South Gate,1,33.9560,-118.2113,2020-03-22
South Pasadena,3,34.1165,-118.1468,2020-03-22
South Whittier,1,33.9608,-118.0417,2020-03-22
Stevenson Ranch,1,34.3873,-118.5802,2020-03-22
Studio City,4,34.1413,-118.3878,2020-03-22
Sun Valley,1,34.2274,-118.3811,2020-03-22
Sunland,1,34.2660,-118.3114,2020-03-22
Sylmar,1,34.3058,-118.4572,2020-03-22
Tarzana,8,34.1509,-118.5517,2020-03-22
Temple,1,34.1023,-118.0603,2020-03-22
Torrance,3,33.8408,-118.3454,2020-03-22
Tujunga,1,34.2633,-118.3027,2020-03-22
University Park,1,34.0315,-118.2797,2020-03-22
Valley Glen,6,34.1838,-118.4172,2020-03-22
Van Nuys,2,34.1899,-118.4514,2020-03-22
Venice,7,33.9764,-118.4667,2020-03-22
Vermont Knolls,1,33.9293,-118.2893,2020-03-22
Vermont Vista,1,33.9465,-118.2826,2020-03-22
Vernon Central,1,34.0043,-118.2570,2020-03-22
Walnut,1,34.0203,-117.8653,2020-03-22
West Adams,1,34.0342,-118.3623,2020-03-22
West Covina,1,34.0686,-117.9390,2020-03-22
West Hills,4,34.1973,-118.6440,2020-03-22
West Hollywood,19,34.0907,-118.3860,2020-03-22
West Los Angeles,3,34.0399,-118.4422,2020-03-22
West Vernon,2,34.0039,-118.2301,2020-03-22
Westchester,3,33.9597,-118.4006,2020-03-22
Westlake,1,34.1458,-118.8056,2020-03-22
Westwood,5,34.0561,-118.4297,2020-03-22
Whittier,2,33.9679,-118.0189,2020-03-22
Wilmington,1,33.7800,-118.2617,2020-03-22
Winnetka,1,34.2059,-118.5754,2020-03-22
Woodland Hills,5,34.1659,-118.6104,2020-03-22
- Under Investigation,38,#N/A,#N/A,2020-03-22
Pasadena,3,34.1561,-118.1319,2020-03-22
Long Beach,15,33.7701,-118.1937,2020-03-22
Agoura Hills,1,34.1364,-118.7745,2020-03-23
Alhambra,4,34.0953,-118.1270,2020-03-23
Altadena,5,34.1902,-118.1313,2020-03-23
Arcadia,3,34.1397,-118.0353,2020-03-23
Athens,1,33.9200,-118.2812,2020-03-23
Baldwin Hills,3,34.0047,-118.3415,2020-03-23
Bellflower,3,33.8822,-118.1180,2020-03-23
Beverly Hills,12,34.0736,-118.4004,2020-03-23
